ma,ten,ten_eg
803022,Hoá học đại cương 2,                              
836408,Tiếng Anh chuyên ngành QTVP 1,
801416,Phương pháp dạy học môn Toán II,
866403,Tiếng Anh 3,
843309,Luật Tố tụng dân sự,
841463,Phát triển ứng dụng trên thiết bị di động nâng cao,
841442,Mạng đa phương tiện và di động (ngành CNTT),
801415,Phương pháp dạy học Toán I,
834403,Thực hành công nghệ sinh học môi trường,
841044,Phương pháp lập trình hướng đối tượng,                              
841324,PPNC khoa học trong Công nghệ thông tin,
841404,Mạng máy tính,
846322,Văn bản QLNN và kỹ thuật soạn thảo văn bản,
861303,Chủ nghĩa xã hội khoa học,
866101,Tiếng Anh I,                              
BOBA11,Bóng bàn 1,                              
821411,Sinh lý học thực vật,
862101,Giáo dục thể chất (I),                              
867510,Xác suất và nguyên lý thống kê kinh tế,
841410,An ninh mạng máy tính,
BODA12,Bóng đá 2,                              
833370,Quan hệ kinh tế quốc tế,
841432,Phân tích dữ liệu,
816429,Thanh nhạc 5,
806414,Vi khuẩn và vi tảo trong Vi sinh vật ứng dụng,
862406,Giáo dục quốc phòng và an ninh I,
813409,Đọc - Viết 2,
841113,Phát triển phần mềm mã nguồn mở,                              
819103,Vệ sinh và dinh dưỡng trẻ em,                              
839404,Kỹ năng làm việc nhóm,
834371,An toàn lao động và vệ sinh môi trường công nghiệp,
841072,Các công nghệ lập trình hiện đại,                              
816432,Kí xướng âm 2,
813411,Đọc - Viết 4,
867002,Nguyên lý kế toán,                              
813307,Kĩ năng nói trước công chúng,
838304,Thư tín thương mại,
857405,Luật và các văn bản quy phạm pháp luật trong du lịch,
864508,Xác suất thống kê,
833401,Quản trị Marketing,
857436,Quản trị dự án đầu tư khách sạn – nhà hàng,
866401,Tiếng Anh 1,
835502,Nhân học ứng dụng,
806403,Di truyền học,
834434,Đồ án PP oxy hóa nâng cao trong xử lý nước thải,
850302,Kỹ thuật vi điều khiển,
841048,Phân tích thiết kế hệ thống thông tin,                              
854019,Tổ chức sự kiện Quốc tế,
816436,Ký xướng âm 6 ,
819408,Đánh giá trong GD Mầm non,
810054,LSVN từ TK X đến 1858,                              
833058,Kế toán quản trị (ngành QTKD),                              
862409,Giáo dục quốc phòng và an ninh IV,
813405,Nghe - Nói 2,
810411,Lịch sử Việt Nam từ 1945 đến nay,
841414,Thiết kế và phân tích giải thuật,
835105,Tâm lý - giao tiếp du lịch,                              
BOCH11,Bóng chuyền 1,                              
832403,Tài chính doanh nghiệp,
865006,Pháp luật đại cương,                              
865002,Cơ sở văn hóa Việt Nam,                              
815321,Giáo dục nghệ thuật 2,
842065,Nghiệp vụ ngân hàng trung ương,                              
802107,Lý luận dạy học vật lí,                              
813312,Lý luận dạy học tiếng Anh 1,
CALO11,Cầu lông 1,                              
866402,Tiếng Anh 2,
835084,Toàn cầu hóa ,                              
839504,PP NCKH trong lĩnh vực TT-TV,
834314,Độc học môi trường,
813003,Tiếng Trung 3,                              
833056,Quản trị sản xuất,                              
842117,Khai báo thuế,                              
833050,Logistics,                              
815326,Dạy học tích hợp trong các môn Tự nhiên - Xã hội,
809450,Văn học và phương ngữ Nam bộ,
841303,Kỹ thuật lập trình,                              
832008,Hệ thống thông tin kế toán 2,                              
833104,Tiếng Anh giao tiếp thương mại (ngành QTKD),                              
850409,Kỹ thuật đo lường và cảm biến,
850416,Robot công nghiệp,
842056,Tài chính quốc tế,                              
822315,Địa lí kinh tế - xã hội Việt Nam,
834405,Thực hành kỹ thuật phân tích môi trường 1,
848415,Phương trình đạo hàm riêng,
843043,Luật Lao động,                              
832065,Thanh toán quốc tế,                              
836310,Nghiệp vụ lễ tân,
813403,Tiếng Hàn 3,
848412,Máy học,
843310,Tư pháp quốc tế,
841464,Lập trình Web và ứng dụng nâng cao,
833307,Nghiên cứu Marketing,
833304,Quản trị kinh doanh quốc tế,
832307,Thực hành khai báo thuế,
841423,Ngôn ngữ lập trình C#,
843481,Luật Thương mại 2,
801028,Bài toán không chỉnh,                              
867508,Toán cao cấp C2,
864005,Giải tích 1,                              
820059,Phương pháp dạy học GDCD 3,                              
813502,Kỹ năng tư duy phản biện,
815402,PPDH Toán 3,
864001,Xác suất thống kê A,                              
835326,Tiếng Anh giao tiếp du lịch 3,
