id_to_hoc,id_mon,ma_mon,ten_mon,so_tc,so_tc_so,is_vuot,nhom_to,to,lop,ds_lop,ds_khoa,is_kdk,sl_dk,sl_cp,sl_cl,tkb,is_hl,enable,hauk,is_dk,gc_enable,is_rot,is_ctdt,is_chctdt,is_kg_lt,thu,tbd,so_tiet,is_kg_huy_kqdk,is_kg_xet_trungtkb,ten_mon_eg
-6305613354813472311,-7024670603245402550,801351,,2,2.0,False,01,,DTU1241,['DTU1241'],['TDTU'],False,0,90,90,"Thứ 4,từ 07:00 đến 08:40,Ph 1.A201,GV Trương Hoàng Huy,21/05/25 đến 25/06/25<hr>Thứ 5,từ 15:00 đến 17:30,Ph 1.A202,GV Trương Hoàng Huy,22/05/25 đến 26/06/25",False,False,False,False,Ngoài thời gian cho phép đăng ký,False,False,False,False,0,0,0,False,False,
-5243865940110254176,-9019095483570592340,801416,,3,3.0,False,01,,DTO1241,['DTO1241'],['TDTU'],False,0,30,30,"Thứ 3,từ 13:50 đến 17:30,Ph 1.C301,GV Phạm Sỹ Nam,20/05/25 đến 17/06/25<hr>Thứ 3,từ 15:50 đến 17:30,Ph 1.C301,GV Phạm Sỹ Nam,24/06/25 <hr>Thứ 5,từ 07:00 đến 10:40,Ph 1.C301,GV Phạm Sỹ Nam,22/05/25 đến 19/06/25<hr>Thứ 5,từ 07:00 đến 09:50,Ph 1.C301,GV Phạm Sỹ Nam,26/06/25 ",False,False,False,False,Ngoài thời gian cho phép đăng ký,False,False,False,False,0,0,0,False,False,
-6439832787086834719,-6046907648058850310,801504,,3,3.0,False,01,,DTO1241,['DTO1241'],['TD'],False,0,30,30,"Thứ 2,từ 07:50 đến 11:30,Ph C.E404,GV Kiều Phương Chi,05/05/25 đến 19/05/25<hr>Thứ 2,từ 07:50 đến 11:30,Ph C.E404,GV Kiều Phương Chi,09/06/25 đến 16/06/25<hr>Thứ 2,từ 09:00 đến 11:30,Ph C.E404,GV Kiều Phương Chi,23/06/25 <hr>Thứ 6,từ 13:00 đến 16:40,Ph C.E404,GV Kiều Phương Chi,09/05/25 đến 23/05/25<hr>Thứ 6,từ 13:00 đến 16:40,Ph C.E404,GV Kiều Phương Chi,13/06/25 đến 20/06/25<hr>Thứ 6,từ 13:00 đến 14:40,Ph C.E404,GV Kiều Phương Chi,27/06/25 ",False,False,False,False,Ngoài thời gian cho phép đăng ký,False,False,False,False,0,0,0,False,False,
-7553801881849976637,-7034654835300959666,801506,,2,2.0,False,01,,DTO1241,['DTO1241'],['TD'],False,0,30,30,"Thứ 4,từ 09:50 đến 11:30,Ph 1.C301,GV Nguyễn Ái Quốc,21/05/25 đến 25/06/25<hr>Thứ 5,từ 15:00 đến 17:30,Ph 1.C301,GV Nguyễn Ái Quốc,22/05/25 đến 26/06/25",False,False,False,False,Ngoài thời gian cho phép đăng ký,False,False,False,False,0,0,0,False,False,
-4956577559916404098,-4679061745589155259,802024,,3,3.0,False,01,,DLI1241,['DLI1241'],['TNLI'],False,0,25,25,"Thứ 2,từ 13:00 đến 16:40,Ph 1.C305,GV Lê Thị Minh Phương,19/05/25 đến 16/06/25<hr>Thứ 2,từ 13:00 đến 14:40,Ph 1.C305,GV Lê Thị Minh Phương,23/06/25 <hr>Thứ 3,từ 13:00 đến 16:40,Ph 1.C304,GV Lê Thị Minh Phương,20/05/25 đến 17/06/25<hr>Thứ 3,từ 13:00 đến 15:50,Ph 1.C101,GV Lê Thị Minh Phương,24/06/25 ",False,False,False,False,Ngoài thời gian cho phép đăng ký,False,False,False,False,0,0,0,False,False,                              
-5398668239238031909,-7501342178262959013,802502,,4,4.0,False,01,,DLI1241,['DLI1241'],['TNLI'],False,0,25,25,"Thứ 4,từ 13:00 đến 14:40,Ph 1.C304,GV Bùi Thị Cẩm Huệ,21/05/25 đến 25/06/25<hr>Thứ 5,từ 13:00 đến 16:40,Ph 1.C304,GV Bùi Thị Cẩm Huệ,22/05/25 đến 26/06/25<hr>Thứ 6,từ 13:00 đến 16:40,Ph 1.C102,GV Bùi Thị Cẩm Huệ,23/05/25 đến 27/06/25",False,False,False,False,Ngoài thời gian cho phép đăng ký,False,False,False,False,0,0,0,False,False,
-6825111768217478629,-6948093187198396026,802503,,1,1.0,False,01,,DLI1241,['DLI1241'],['TNLI'],False,0,25,25,"Thứ 4,từ 15:00 đến 17:30,Ph 1.C304,GV Dương Trí Trung,21/05/25 đến 25/06/25<hr>Thứ 5,từ 09:50 đến 11:30,Ph 1.C304,GV Dương Trí Trung,22/05/25 đến 26/06/25",False,False,False,False,Ngoài thời gian cho phép đăng ký,False,False,False,False,0,0,0,False,False,
-7910413336300871712,-4823735346357854315,803106,,3,3.0,False,01,,DHO1241,['DHO1241'],['TNHO'],False,0,22,22,"Thứ 2,từ 13:00 đến 16:40,Ph 1.C301,GV Nguyễn Hữu Thọ,19/05/25 đến 16/06/25<hr>Thứ 2,từ 13:00 đến 15:50,Ph 1.C301,GV Nguyễn Hữu Thọ,23/06/25 <hr>Thứ 6,từ 13:00 đến 16:40,Ph 1.C303,GV Nguyễn Hữu Thọ,23/05/25 đến 20/06/25<hr>Thứ 6,từ 13:00 đến 14:40,Ph 1.C303,GV Nguyễn Hữu Thọ,27/06/25 ",False,False,False,False,Ngoài thời gian cho phép đăng ký,False,False,False,False,0,0,0,False,False,                              
-5563862993252317063,-7683561362947036017,803107,,1,1.0,False,01,,DHO1241,['DHO1241'],['TNHO'],False,0,22,22,"Thứ 5,từ 13:00 đến 17:30,Ph C.A406,GV Quách Nguyễn Khánh Nguyên,29/05/25 đến 26/06/25",False,False,False,False,Ngoài thời gian cho phép đăng ký,False,False,False,False,0,0,0,False,False,                              
-7253368251904116722,-5995045335805417615,803124,,1,1.0,False,01,,DHO1241,['DHO1241'],['TNHO'],False,0,22,22,"Thứ 2,từ 09:50 đến 11:30,Ph 1.C301,GV Ngô Huyền Trân,26/05/25 đến 23/06/25<hr>Thứ 6,từ 09:00 đến 11:30,Ph 1.C303,GV Ngô Huyền Trân,30/05/25 đến 27/06/25",False,False,False,False,Ngoài thời gian cho phép đăng ký,False,False,False,False,0,0,0,False,False,                              
