ma,ten
DHO1241,ĐH chính quy - ngành SP Hóa - K.24 - Lớp 1
DQV1231,ĐH chính quy - ngành Quản trị văn phòng - K.23 - Lớp 1
DTO1231,ĐH chính quy - ngành SP Toán - K.23 - Lớp 1
DLU1222,ĐH chính quy - ngành Luật - K.22 - Lớp 2
DCT1213,ĐH chính quy - ngành Công nghệ thông tin - K.21 - Lớp 3
DCT1211,ĐH chính quy - ngành Công nghệ thông tin - K.21 - Lớp 1
DTO1241,ĐH chính quy - ngành SP Toán - K.24 - Lớp 1
DCM1241,ĐH chính quy - ngành CN Kĩ thuật Môi trường - K.24 - Lớp 1
DTU1221,ĐH chính quy - ngành Toán ứng dụng - K.22 - Lớp 1
DKP1242,ĐH chính quy - ngành Kỹ thuật phần mềm - K.24 - Lớp 2
DQG1241,ĐH chính quy - ngành Quản lý Giáo dục - K.24 - Lớp 1
DKH1231,ĐH chính quy - ngành SP Khoa học tự nhiên - K.23 - Lớp 1
DKP1221,ĐH chính quy - ngành Kỹ thuật phần mềm - K.22 - Lớp 1
DKQ1211,ĐH chính quy - ngành Kinh doanh quốc tế - K.21 - Lớp 1
DNH1221,ĐH chính quy - ngành SP Âm nhạc - K.22 - Lớp 1
DSI1211,ĐH chính quy - ngành SP Sinh học - K.21 - Lớp 1
DCT1241,ĐH chính quy - ngành Công nghệ thông tin - K.24 - Lớp 1
DSA1242,ĐH chính quy - ngành SP Tiếng Anh - K.24 - Lớp 2
DGM1241,ĐH chính quy - ngành Giáo dục Mầm non - K.24 - Lớp 1
DTT1241,ĐH chính quy - ngành Thông tin - Thư viện - K.24 - Lớp 1
DCM1221,ĐH chính quy - ngành CN Kĩ thuật Môi trường - K.22 - Lớp 1
DNH1241,ĐH chính quy - ngành SP Âm nhạc - K.24 - Lớp 1
DSA1233,ĐH chính quy - ngành SP Tiếng Anh - K.23 - Lớp 3
DAN1233,ĐH chính quy - ngành Ngôn ngữ Anh - K.23 - Lớp 3
DAN1225,ĐH chính quy - ngành Ngôn ngữ Anh - K.22 - Lớp 5
DDL1241,ĐH chính quy - ngành Du lịch - K.24 - Lớp 1
DQK1235,ĐH chính quy - ngành Quản trị kinh doanh - K.23 - Lớp 5
DDL1221,ĐH chính quy - ngành Du lịch - K.22 - Lớp 1
DVI1241,ĐH chính quy - ngành Việt Nam học - K.24 - Lớp 1
DSI1241,ĐH chính quy - ngành SP Sinh học - K.24 - Lớp 1
DSI1231,ĐH chính quy - ngành SP Sinh học - K.23 - Lớp 1
DCM1211,ĐH chính quy - ngành CN Kĩ thuật Môi trường - K.21 - Lớp 1
DDE1231,ĐH chính quy - ngành Kỹ thuật điện - K.23 - Lớp 1
DCV1231,ĐH chính quy - ngành CN kỹ thuật điện tử - viễn thông - K.23 - Lớp 1
DCT1234,ĐH chính quy - ngành Công nghệ thông tin - K.23 - Lớp 4
DQT1231,ĐH chính quy - ngành Quốc tế học - K.23 - Lớp 1
DNA1221,ĐH chính quy - ngành Thanh nhạc - K.22 - Lớp 1
DGM1211,ĐH chính quy - ngành Giáo dục Mầm non - K.21 - Lớp 1
DSU1241,ĐH chính quy - ngành SP Lịch sử - K.24 - Lớp 1
