ma,ten,ten_eg
865002,Cơ sở văn hóa Việt Nam,                              
864007,Đại số tuyến tính,                              
810509,Phương pháp nghiên cứu khoa học lịch sử,
817407,Hình họa 2,
867508,Toán cao cấp C2,
801416,Phương pháp dạy học môn Toán II,
820505,Giáo dục pháp luật,
867511,Kinh tế lượng,
834307,Kỹ thuật phân tích môi trường,
850022,Thí nghiệm điện tử 1,                              
839409,Tự động hóa thư viện,
861303,Chủ nghĩa xã hội khoa học,
816419,Nhạc cụ 2,
865508,Thống kê trong Khoa học xã hội,
820346,Tư tưởng Hồ Chí Minh (GDCT),
811409,Thực tế chuyên môn 1,
861302,Kinh tế chính trị Mác - Lênin,
819503,Thể dục nhịp điệu cho trẻ mầm non,
866402,Tiếng Anh 2,
841070,Thực tập tốt nghiệp (DCT),                              
834462,Thực tập tốt nghiệp (DKM),
832060,P/tích b/cáo tài chính doanh nghiệp,                              
817411,Luật xa gần,
817506,Tổ chức hoạt động dạy học môn mỹ thuật ở trường phổ thông 1,
861301,Triết học Mác - Lênin,
BOCH11,Bóng chuyền 1,                              
862101,Giáo dục thể chất (I),                              
835103,Địa lý du lịch Việt Nam,                              
843504,Kỹ thuật xây dựng văn bản pháp luật,
857509,Kinh tế Du lịch,
820507,Lý luận và phương pháp dạy học bộ môn 2,
867001,Nguyên lý thống kê kinh tế,                              
849498,Thực tập tốt nghiệp (DDE),
863412,Quản lý HCNN & quản lý ngành GD-ĐT (trường trung học),
BORO11,Bóng rổ 1,                              
809308,Hệ thống thể loại và tác giả tiêu biểu Văn học Việt Nam hiện đại 1900 - 1945,
832026,Thuế,                              
CALO11,Cầu lông 1,                              
821404,Cơ sở vật lý 1,
865007,Đại cương xã hội học,                              
841312,Tiếng Anh B1 - 2,
866401,Tiếng Anh 1,
822314,Địa lí tự nhiên Việt Nam,
820482,Giáo dục kinh tế 2,
CALO12,Cầu lông 2,                              
846302,Hệ thống giáo dục quốc dân và bộ máy QLGD,
838504,Thường thức mỹ thuật,
803107,Thực hành hóa phân tích định tính,                              
850029,Thực hành điện - điện tử,                              
867510,Xác suất và nguyên lý thống kê kinh tế,
865006,Pháp luật đại cương,                              
816426,Thanh nhạc 2,
802502,Phát triển chương trình vật lý THPT,
819504,Lý luận dạy học mầm non hiện đại,
866102,Tiếng Anh II,                              
862407,Giáo dục quốc phòng và an ninh II,
857510,Hệ thống di tích lịch sử - văn hóa và danh thắng Việt Nam,
BOCH12,Bóng chuyền 2,                              
832107,Lý thuyết tài chính tiền tệ,                              
866103,Tiếng Anh III,                              
BORO12,Bóng rổ 2,                              
867007,Toán cao cấp C1,                              
853009,Tâm lí học nhân cách,                              
854502,Kỹ năng nói trước công chúng,
852498,Thực tập tốt nghiệp (DDV) (DCV),
866403,Tiếng Anh 3,
839307,Xuất bản điện tử,
843406,"Luật Dân sự 2 - Tài sản, sở hữu và thừa kế tài sản",
801506,Rèn luyện nghiệp vụ sư phạm thường xuyên,
801351,Phương pháp nghiên cứu khoa học trong ngành Toán,
BOBA11,Bóng bàn 1,                              
802503,Thực hành sư phạm THPT 1,
867002,Nguyên lý kế toán,                              
813410,Đọc - Viết 3,
862409,Giáo dục quốc phòng và an ninh IV,
864001,Xác suất thống kê A,                              
821502,Sinh học đại cương,
815501,Tâm lý học tiểu học,
867005,Quản trị nguồn nhân lực,                              
834216,Phương pháp xử lý số liệu môi trường,                              
813406,Nghe - Nói 3,
815508,Giáo dục nghệ thuật 1 (Âm nhạc),
834304,Vi sinh môi trường,
865001,Tiếng Việt thực hành,                              
866101,Tiếng Anh I,                              
811078,Thực hành sư phạm 1,                              
BODA11,Bóng đá 1,                              
858007,Kinh tế học đại cương,
863013,Công tác đội TNTP HCM,                              
809306,Khuynh hướng văn học và loại hình tác giả văn học trung đại Việt Nam,
864006,Giải tích 2,                              
838098,Thực tập tốt nghiệp (DTA) (DAN),                              
862408,Giáo dục quốc phòng và an ninh III,
841109,Cơ sở dữ liệu,                              
867009,Quản trị học,
851498,Thực tập tốt nghiệp (DKD),
865003,Lịch sử văn minh Thế giới,                              
809311,Ngữ pháp tiếng Việt từ lí thuyết đến sử dụng,
864508,Xác suất thống kê,
801504,Giải tích hàm biến thực III,
816433,Ký xướng âm 3,
867003,Pháp luật kinh doanh,                              
803124,Thực hành sư phạm THPT 1,                              
834371,An toàn lao động và vệ sinh môi trường công nghiệp,
861304,Tư tưởng Hồ Chí Minh,
841022,Hệ điều hành,                              
861305,Lịch sử Đảng Cộng sản Việt Nam,
819402,Âm nhạc mầm non,
867006,Quy hoạch tuyến tính,                              
822511,Phương pháp nghiên cứu khoa học Lịch sử và Địa lí,
806023,PPDH Sinh học THPT 1,                              
833502,Ứng dụng công nghệ thông tin trong kinh doanh,
850439,Thực hành vi điều khiển,
842059,Quản trị rủi ro tài chính,                              
863005,Giáo dục học đại cương,                              
864005,Giải tích 1,                              
862406,Giáo dục quốc phòng và an ninh I,
850407,Linh kiện và mạch điện tử 2,
BODA12,Bóng đá 2,                              
846303,Quản lí HCNN & quản lí ngành GD-ĐT,                              
841404,Mạng máy tính,
834471,Sinh thái môi trường và đa dạng sinh học,
835120,Thực tế Việt Nam 1,                              
859401,Quản trị nguồn nhân lực trong lĩnh vực nhà hàng và dịch vụ ăn uống,
863408,Tổ chức HĐ dạy học & GD ở trường trung học,
810421,Hệ thống phương pháp và các hình thức tổ chức dạy học Lịch sử,
811057,Địa lý tự nhiên Việt Nam 1,                              
865005,Logic học,                              
848011,Thống kê ứng dụng,                              
BOBA12,Bóng bàn 2,                              
863404,TLH lứa tuổi trung học và TLH sư phạm,
803106,Hóa phân tích 2,                              
853008,Tâm lí học phát triển,                              
854336,Phương pháp NCKH ngành Quốc tế học,
802024,Quang học,                              
832051,Kế toán tài chính 2,                              
813313,Lý luận dạy học tiếng Anh 2,
