ma,ten,ten_eg
815318,Hoạt động trải nghiệm 1,
854321,Nghiệp vụ truyền thông,
802408,Kiểm tra đánh giá trong dạy học Vật lý THPT,
803027,PPDH hóa học,                              
119040,Thực tế bộ môn,                              
850066,Kỹ thuật điều khiển hữu tuyến và vô tuyến,                              
846027,Tâm lý học quản lý,                              
717076,Thực hành sư phạm C4,                              
209021,Văn học thế giới 2,                              
846306,Kinh tế học giáo dục,
803068,TH hóa công nghệ - môi trường,                              
802301,Cơ học,                              
839026,Tiếng Anh chuyên ngành 3,                              
835405,Quản trị các sự kiện văn hóa du lịch,
854031,Hệ thống kinh tế của Liên minh châu Âu,
205032,PLC cơ bản,                              
838066,Thực hành phiên dịch,                              
854312,Tâm lý giao tiếp trong Quan hệ quốc tế,
865002,Cơ sở văn hóa Việt Nam,                              
841047,Công nghệ phần mềm,                              
202028,Thường thức Âm nhạc,                              
816011,Thanh nhạc 4B,                              
843482,Pháp luật về thuế,
803412,Phương pháp dạy học tích cực ,
261005,Chính trị 3,                              
820065,G/th một số t/phẩm kinh điển của Mác–Ăngghen-Lênin về triết học,                              
847206,Kỹ thuật hát hợp xướng 3B,                              
317004,Điêu khắc,                              
859421,Tổng quan du lịch (ngành Quản trị NH&DVAU),
803418,Phương pháp dạy học hóa học theo chủ đề,
834007,Giải tích 2,                              
803114,Thực hành phân tích hóa lý,                              
216014,Thực hành Sư phạm 2,                              
363031,Quản lý HCNN và quản lý Ngành GD-ĐT,                              
231096,(TN) Lập trình căn bản và Cấu trúc DL,                              
811072,Địa lý đô thị,                              
832499,Khóa luận tốt nghiệp (DKE),
864007,Đại số tuyến tính,                              
234040,Phương pháp xử lý số liệu môi trường,                              
842098,Thực tập tốt nghiệp (DTN),                              
810509,Phương pháp nghiên cứu khoa học lịch sử,
813085,Thực hành sư phạm 3,                              
819408,Đánh giá trong GD Mầm non,
H65001,Xã hội học,                              
141008,Quản trị hạ tầng mạng,                              
841476,"Đồ án chuyên ngành (ngành CNTT, ngành KTPM)",
213045,Tiếng Pháp (4),                              
835052,Cơ sở ngôn ngữ học,                              
212025,Các nguyên lý kinh tế,                              
843401,Nghề luật và phương pháp học luật,
833072,Phương pháp luận nghiên cứu KH,                              
816428,Thanh nhạc 4,
215009,Tiếng Việt 2,                              
132024,Tài chính doanh nghiệp,                              
712019,Lịch sử thế giới đại cương,                              
850432,Thiết kế mạng truyền dẫn vô tuyến số,
802025,Vật lý hạt nhân và nguyên tử,                              
850007,Vật lý A1,                              
801139,Thực hành sư phạm THCS 1,                              
813107,Ngữ pháp 2,                              
801325,Phương pháp dạy học 2 THCS,
821405,Cơ sở vật lý 2,
740110,"Thu thập, bổ sung tài liệu lưu trữ",                              
311099,(TN) PP dạy học Địa lý,                              
QG0514,"Tâm lí học quản lí, lãnh đạo",                              
848004,Kỹ thuật lập trình,                              
841477,Lập trình Game,
713001,Tiếng Pháp 1,                              
835001,Phương pháp luận Nghiên cứu KH,                              
843108,Pháp luật về quản lý đô thị,                              
833406,Digital Marketing,
801075,Lý thuyết ổn định II,                              
H33096,(TN) Quản trị học,                              
201014,Cơ sở số học,                              
320004,Lịch sử văn minh thế giới,                              
839404,Kỹ năng làm việc nhóm,
239016,Pháp chế thư viện - thông tin và luật xuất bản,                              
707105,Phương pháp dạy học KTNN ở trường THCS,                              
835066,Mĩ thuật Việt Nam và Thế giới,                              
841333,Phát triển ứng dụng cho thiết bị di động nâng cao (KTPM),
119050,Văn - Tiếng Việt 3,                              
219171,PP giáo dục âm nhạc (LT1),                              
806054,Sinh lý học thực vật,                              
315053,Khóa luận tốt nghiệp (DGT),                              
209013,Lí luận văn học 3,                              
846505,Tổ chức sự kiện trong cơ sở giáo dục,
811320,Phương pháp NCKH ngành Địa lí,
809070,Chuyên đề văn học VN trung đại,                              
816304,Kí xướng âm 1A,                              
811108,Du lịch sinh thái,                              
201002,Vật lý đại cương,                              
813422,Tìm hiểu thực tế các cơ sở giáo dục tiên tiến,
832011,Đạo đức trong kinh doanh,                              
702050,Phương trình vật lý toán,                              
811324,Đổi mới kiểm tra đánh giá trong dạy học địa lý THCS,
806411,Phân tích và phát triển chương trình Sinh học THPT,
335001,Nhập môn Việt Nam học,                              
801315,Phương pháp dạy học 2 THPT,
212015,Pháp luật học chuyên ngành,                              
841113,Phát triển phần mềm mã nguồn mở,                              
119011,Phòng bệnh,                              
211021,Kinh tế học đại cương,                              
813051,Kỹ năng nghe 1,                              
712102,Đạo đức học,                              
235043,Thực tế bộ môn 2,                              
215044,Tiếng Việt thực hành,                              
310014,Khái quát lịch sử VN từ 1945-1975,                              
737062,Soạn thảo VB trên máy vi tính,                              
853030,Tham vấn cho trẻ chậm phát triển và khuyết tật,
850415,Điều khiển thích nghi,
203096,(TN) Hóa đại cương,                              
701112,Đại số sơ cấp và thực hành giải toán (THCS),                              
854034,"Lịch sử, văn hóa và văn học Hoa Kì",
313015,Luyện kỹ năng Đọc 5,                              
203018,Hóa công nghệ môi trường 1,                              
207028,Thực hành Sư phạm 3,                              
813501,Văn học Anh Mỹ,
853023,Tâm lí học gia đình,
737130,Lịch sử văn bản và công tác văn thư,                              
849308,Thiết kế nhà máy điện và trạm biến áp,
315089,Tiếng việt 2,                              
854417,Quản trị khủng hoảng quốc tế,
809451,Thực hành sư phạm 1,
207013,Dạy học KTNN ở trường THCS,                              
164003,Tiếng Anh 3,                              
819305,Tâm lý học quản lý,
212027,Lý luận và lịch sử Tôn giáo,                              
834215,Các quá trình hóa - lý trong kỹ thuật môi trường,                              
847036,Piano phổ thông 2B,                              
863516,Tâm lí học (C),
801102,"Bài tập Đại số tuyến tính 1,2",                              
839117,Thư viện chuyên ngành,                              
811058,Địa lý tự nhiên Việt Nam 2,                              
806404,Sinh lý học thực vật,
846315,Đảm bảo chất lượng giáo dục,
802315,Chuyên đề vật lý lý thuyết,
813020,Luyện âm,                              
834456,Thực hành hóa học phân tích,
817407,Hình họa 2,
816240,Nghệ thuật học đại cương,                              
841454,Xử lý ảnh nâng cao,
132031,Kiểm tập và viết báo cáo,                              
850426,Hệ thống viễn thông số,
802114,Thực tế bộ môn,                              
361001,Triết học Mác-Lênin,                              
849410,Mạng truyền thông công nghiệp & SCADA,
119013,Phương pháp giáo dục âm nhạc (TC),                              
802316,Vật lý bán dẫn và siêu dẫn,
261001,Triết học Mác-Lênin,                              
132028,Kế toán quản trị,                              
841405,"Xác suất thống kê (ngành CNTT, KTPM)",
841453,Phân tích và nhận dạng mẫu,
803127,Thực hành sư phạm THPT 4,                              
835122,Thực tế chuyên môn 3,                              
809415,Ngôn ngữ học xã hội,
802078,Phương trình Vật lí – Toán,                              
857437,Nghiệp vụ Lễ tân,
303004,Nhiệt động học,                              
839001,Đường lối VH - văn nghệ của ĐCSVN,                              
362008,Giáo dục Quốc phòng (3),                              
841413,Cơ sở dữ liệu phân tán,
847039,Ký xướng âm 4A,                              
708308,Tồn trữ thực phẩm,
834094,Quản lý chất thải nguy hại,                              
809073,Chuyên đề lí luận và PP dạy Văn,                              
854320,Nghiệp vụ Lễ tân quốc tế,
206015,Giải phẫu sinh lý người 2,                              
216042,Nhạc cụ 6,                              
821413,Di truyền học và tiến hóa,
711101,Thực hành sư phạm THCS 1,                              
809061,Ngữ pháp văn bản tiếng Việt,                              
819083,Tổ chức thực hiện CT GDMN (nâng cao),                              
809315,Văn bản Hán - Nôm trong văn học Việt Nam theo thể loại,
708002,Hóa đại cương,                              
815024,Chuyên đề tự chọn 1 (TV/T/TN-XH),                              
741046,Lập trình web,                              
231015,Quản trị cơ sở dữ liệu,                              
819306,Phương pháp dạy học hiện đại,
217005,Ký họa đen trắng 1,                              
801116,Bài tập Hàm biến phức,                              
806499,Khóa luận tốt nghiệp (DSI),
707301,Hình thái học thực vật,                              
816087,Thực hành sư phạm 5,                              
811322,Phân tích chương trình môn Địa lý THCS,
231009,Quản lý hệ thống máy tính,                              
236004,Tâm lí học quản lí,                              
845059,"Kỹ năng lập, thực hiện và quản lý dự án đầu tư",                              
208030,Đan,                              
809123,Lí luận và PP dạy Làm Văn THPT,                              
838003,Tiếng Trung 3,                              
850350,Phương pháp nghiên cứu khoa học chuyên ngành kỹ thuật,
832405,Kế toán quản trị chiến lược,
806403,Di truyền học,
BOCH01,Bóng chuyền cơ bản,                              
231001,Toán cao cấp (1),                              
811109,Sinh thái học đại cương,                              
310004,Khái quát LSVN từ nguồn gốc-1858,                              
847029,Thanh nhạc 3A,                              
849033,Thiết kế nguồn điện,                              
205011,Cơ kĩ thuật 2,                              
841437,Các giải thuật phân tán,
802126,Lý luận dạy học vật lí hiện đại,                              
849002,Thị giác máy tính,                              
853035,Tâm lí học tổ chức,
850405,An toàn điện và an toàn lao động,
841099,Khóa luận tốt nghiệp (DCT),                              
802414,Thiết kế thí nghiệm ảo trong dạy học Vật lý,
816209,Kỹ thuật hát hợp xướng 3,                              
839053,Tổ chức kho và bảo quản,                              
315037,Phương pháp dạy học Toán 3,                              
816062,Ký Xướng âm 3B,                              
315085,Mỹ thuật và PPDH Mỹ thuật,                              
842197,Thực tập tốt nghiệp (chuyên ngành Ngân Hàng),                              
802116,Lịch sử vật lí,                              
317006,Hình họa 1,                              
835033,Đạo đức trong kinh doanh du lịch,                              
741101,Đồ án tốt nghiệp,                              
H42030,Luật ngân hàng,                              
819021,Nhạc 1,                              
819024,Kỹ năng làm đồ chơi,                              
362007,Giáo dục Quốc phòng (2),                              
H33097,(TN) Quản trị nguồn nhân lực,                              
853099,Khóa luận tốt nghiệp (DTL),
819099,Khóa luận tốt nghiệp (DGM),                              
708070,Thực hành sư phạm 1,                              
811076,Địa lý du lịch Việt Nam,                              
833070,Tin học ứng dụng,                              
857434,Quản lý ẩm thực,
214002,Luyện nói 1,                              
239015,Lịch sử tư tưởng Phương Đông và VN,                              
846501,Chiến lược phát triển giáo dục,
820109,Thực hành sư phạm THPT 1,                              
803090,Hợp chất tự nhiên,                              
867508,Toán cao cấp C2,
210015,Hệ thống các PP dạy học Lịch sử,                              
302008,Cơ lý thuyết,                              
838004,Luật kinh doanh,                              
833106,Quản trị ngân hàng thương mại,                              
806083,Thực hành sư phạm 3,                              
834006,Đ/số tuyến tính & H/học giải tích,                              
234025,Thực hành hóa môi trường,                              
806105,Thực hành sinh tin học,                              
851098,Thực tập tốt nghiệp (DKD),                              
833025,Quản trị chiến lược,                              
708073,Thực hành sư phạm 4,                              
848045,Thống kê ứng dụng trong kinh doanh và kinh tế,                              
867008,Toán cao cấp C2,                              
717099,Khóa luận tốt nghiệp (CMI),                              
214010,Luyện đọc 2,                              
O20003,PP dạy học GDCD,                              
816045,Hát dân ca 2,                              
716057,Chỉ huy và dàn dựng hát tập thể 2,                              
809057,Ngữ âm học tiếng Việt,                              
815022,Sinh lý trẻ em lứa tuổi tiểu học,                              
816222,Múa 2,                              
319496,(TN) Phương pháp khám phá khoa học và môi trường xung quanh,
810088,Lịch sử khai phá vùng đất Nam Bộ (TK XVII-XIX),                              
803002,Vật lý đại cương,                              
309013,Một số vấn đề văn học VN từ 1945-1975,                              
846006,Giáo dục dân số và môi trường,                              
802403,Cơ học lượng tử,
803074,Xúc tác và ứng dụng,                              
315013,Lý luận văn học và mỹ học,                              
839118,Tiếng Việt,                              
204018,Lập trình hướng đối tượng 1,                              
803331,Thí nghiệm dạy học hóa học THCS,
712030,Hoạt động giáo dục ngoài giờ lên lớp,                              
240035,Lưu trữ tài liệu nghe nhìn,                              
264011,Tiếng Việt thực hành,                              
201010,Hình học sơ cấp - Thực hành giải toán,                              
809055,Văn học Châu Á,                              
847412,Pinao phổ thông 1,
815406,Phát triển năng lực toán học của học sinh Tiểu học,
817402,Lịch sử Mỹ thuật Thế giới,
866002,Tiếng Anh (2),                              
848403,Phép biến đổi tích phân,
820067,L/sử p/trào cộng sản và công nhân q/tế,                              
238014,Phong cách học,                              
317010,Hình họa 2,                              
854324,Thực tế chuyên môn 1,                              
H33019,Quản trị rủi ro,                              
820326,Chuyên đề ĐLCM của Đảng Cộng sản VN,
809109,Chuyên đề mối quan hệ giữa văn học và văn hóa,                              
819066,Phương pháp giáo dục thể chất (CĐ),                              
832006,"Kinh tế lượng (ngành TCNH, ngành KT)",                              
H33023,Quan hệ công chúng,                              
861003,Đường lối cách mạng của ĐCS VN,                              
838023,Ngữ âm - Âm vị học,                              
216025,Thanh nhạc 4,                              
844061,Pháp luật về Đấu thầu quốc tế,                              
815079,Từ Hán Việt,                              
833080,Lập kế hoạch kinh doanh,                              
841429,Cơ sở dữ liệu nâng cao,
801416,Phương pháp dạy học môn Toán II,
832057,Kế toán Mỹ,                              
854316,Ngoại giao thế giới,                              
809052,Văn học VN trung đại 2,                              
809399,Khóa luận tốt nghiệp (DVA),
843407,"Luật Dân sự 3 - Nghĩa vụ và hợp đồng, trách nhiệm bồi thường thiệt hại ngoài hợp đồng",
813073,Thực hành giảng dạy 1,                              
835076,Thực tế bộ môn 2,                              
215037,Đạo đức và PPDH Đạo đức,                              
841308,Khai phá dữ liệu,                              
806085,Thực hành sư phạm 5,                              
813429,Tiếng Hàn nâng cao,
709102,Lí luận và PP dạy Tiếng Việt THCS,                              
119099,(TN) PP làm quen với VH và trò chơi ph/triển ng/ngữ,                              
701116,Thực hành sư phạm 1 (THCS),                              
713006,"Dân số, môi trường, AIDS, Ma túy",                              
854303,Tiếng Trung 3,
802063,PPDH Vật lý THPT 4,                              
843101,Luật tố tụng dân sự,                              
813063,Kỹ năng đọc 2,                              
806303,Tiến hóa,
261004,Lịch sử Đảng CSVN,                              
705074,PLC cơ bản,                              
737107,Toán văn phòng,                              
833198,Thực tập tốt nghiệp (DQK),                              
834453,Đồ án tốt nghiệp 2,
858003,Đại số tuyến tính,
820505,Giáo dục pháp luật,
850044,Xử lí ảnh,                              
701120,Hình học xạ ảnh (CĐ),                              
811089,Hệ thống thông tin điạ lý,                              
H33015,Tin học ứng dụng trong kinh doanh,                              
803112,Lý luận và phương pháp dạy học hóa học THPT 2,                              
801071,Số học và thuật toán,                              
811098,Khoá luận tốt nghiệp (LT DDI),                              
836125,Nghiệp vụ công tác lưu trữ,                              
H33030,Hệ thống thông tin quản lý,                              
207021,Thực hành Sư phạm 2,                              
841407,Các hệ quản trị cơ sở dữ liệu,
815070,PPDH Thủ công - Kỹ thuật,                              
838055,Kỹ năng Nghe 3,                              
364004,Tiếng Anh 4,                              
315084,Cơ sở Tự nhiên - Xã hội,                              
843411,Công pháp quốc tế,
205018,T.H. cơ khí 1,                              
207019,Thổ nhưỡng nông hoá,                              
819052,Phòng bệnh trẻ em,                              
842196,Thực tập tốt nghiệp (chuyên ngành Tài chính),                              
132032,Tiếng Anh 3,                              
211004,Địa chất học,                              
815004,Chuyên đề phương pháp dạy học TV,                              
852403,Vận hành bảo dưỡng hệ thống vô tuyến số,
232027,Tài chính doanh nghiệp,                              
836111,Tiếng Anh chuyên ngành QTVP 1,                              
817119,Trang trí 2,                              
802052,Vật lý thống kê,                              
811059,Địa lý kinh tế-xã hội thế giới,                              
820304,Thường thức Mỹ thuật,
205009,Cơ kĩ thuật 1,                              
803062,TH hóa phân tích định lượng,                              
849016,Cung cấp điện,                              
816431,Kí xướng âm 1,
867511,Kinh tế lượng,
141019,Các trình tiện ích,                              
